Month,Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score
June,48,Entrepreneur,20787.69,1999.3075,8,6,14,3,"Home Equity Loan, Credit-Builder Loan, and Home Equity Loan",22,14,1.13,3.0,_,614.6,30.4424252235854,,No,42.22199265643221,28.63736093576957,High_spent_Large_value_payments,369.07139640779815,Standard
July,48,Entrepreneur,20787.69,1999.3075,8,6,14,3,"Home Equity Loan, Credit-Builder Loan, and Home Equity Loan",23,14,1.13,3.0,Standard,614.6,26.11024341981501,,No,42.22199265643221,258.21517380152807,Low_spent_Small_value_payments,189.4935835420397,Standard
August,48,Entrepreneur,20787.69,1999.3075,8,1381,14,3,"Home Equity Loan, Credit-Builder Loan, and Home Equity Loan",22,14,8.129999999999999,3.0,_,614.6,35.344187616472155,18 Years and 5 Months,No,42.22199265643221,21.745531229318935,High_spent_Large_value_payments,375.96322611424887,Standard
January,30,Writer,34290.12,2697.51,9,8,25,7,"Home Equity Loan, Credit-Builder Loan, Credit-Builder Loan, Home Equity Loan, Debt Consolidation Loan, Mortgage Loan, and Auto Loan",52,10,17.96,9.0,Standard,2686.81,39.28029558815228,13 Years and 8 Months,NM,185.1119825795006,248.06995733765262,Low_spent_Large_value_payments,106.56906008284685,Poor
February,30,Writer,34290.12,2697.51,9,8,25,7,"Home Equity Loan, Credit-Builder Loan, Credit-Builder Loan, Home Equity Loan, Debt Consolidation Loan, Mortgage Loan, and Auto Loan",47,,13.96,9.0,Standard,2686.81,27.036842290717487,,NM,185.1119825795006,__10000__,Low_spent_Large_value_payments,196.5585016421765,Standard
March,30,Writer,34290.12,2697.51,9,8,25,7,"Home Equity Loan, Credit-Builder Loan, Credit-Builder Loan, Home Equity Loan, Debt Consolidation Loan, Mortgage Loan, and Auto Loan",52,6,12.96,9.0,_,2686.81,29.01885042597808,,Yes,185.1119825795006,60.589536090880564,High_spent_Medium_value_payments,274.0494813296189,Standard
April,30,Writer,34290.12,,9,8,25,-100,"Home Equity Loan, Credit-Builder Loan, Credit-Builder Loan, Home Equity Loan, Debt Consolidation Loan, Mortgage Loan, and Auto Loan",52,7,13.96,9.0,Standard,2686.81,36.16398913486826,13 Years and 11 Months,NM,185.1119825795006,99.47477403683122,Low_spent_Large_value_payments,255.16424338366824,Poor
May,30,_______,34290.12,2697.51,9,8,25,7,"Home Equity Loan, Credit-Builder Loan, Credit-Builder Loan, Home Equity Loan, Debt Consolidation Loan, Mortgage Loan, and Auto Loan",52,12,13.96,9.0,_,2686.81,33.841866041473175,14 Years and 0 Months,Yes,185.1119825795006,330.071842181316,Low_spent_Small_value_payments,44.56717523918351,Poor
June,30,Writer,34290.12,2697.51,9,8,25,7,"Home Equity Loan, Credit-Builder Loan, Credit-Builder Loan, Home Equity Loan, Debt Consolidation Loan, Mortgage Loan, and Auto Loan",52,12,13.96,9.0,_,2686.81,24.222554856393263,14 Years and 1 Months,Yes,185.1119825795006,108.94691107774382,High_spent_Medium_value_payments,225.6921063427557,Poor
July,30,Writer,34290.12_,2697.51,9,8,25,7,"Home Equity Loan, Credit-Builder Loan, Credit-Builder Loan, Home Equity Loan, Debt Consolidation Loan, Mortgage Loan, and Auto Loan",52,12,13.96,13.0,Standard,2686.81,35.11893274172206,14 Years and 2 Months,Yes,185.1119825795006,224.09320407033417,!@9#%8,150.5458133501653,Standard
August,30,Writer,34290.12,,9,898,25,7,"Home Equity Loan, Credit-Builder Loan, Credit-Builder Loan, Home Equity Loan, Debt Consolidation Loan, Mortgage Loan, and Auto Loan",52,9,13.96,13.0,_,2686.81,36.82064895309465,14 Years and 3 Months,Yes,185.1119825795006,94.91721648288956,High_spent_Small_value_payments,249.72180093760983,Poor
January,32,Accountant,43070.24,,3,3,18,1,Debt Consolidation Loan,11,8,8.97,4.0,Standard,1233.1,27.980700663802914,19 Years and 2 Months,Yes,30.57608482316153,397.00224891024857,Low_spent_Small_value_payments,224.64033293325656,Standard
February,32,Accountant,43070.24_,3622.186666666666,3,3,18,1,Debt Consolidation Loan,13,8,14.97,4.0,Standard,1233.1,28.071291859962397,19 Years and 3 Months,Yes,30.57608482316153,443.9186741720723,Low_spent_Small_value_payments,177.7239076714328,Standard
March,32,Accountant,43070.24,3622.186666666666,3,3,18,1,Debt Consolidation Loan,15,8,12.97,4.0,Standard,1233.1,28.361166154311103,19 Years and 4 Months,Yes,30.57608482316153,50.50914885496671,High_spent_Large_value_payments,521.1334329885384,Standard
April,995,Accountant,43070.24,3622.186666666666,3,3,18,1,Debt Consolidation Loan,11,8,8.97,4.0,Standard,1233.1,24.331771760144264,19 Years and 5 Months,Yes,30.57608482316153,74.92037487328841,High_spent_Medium_value_payments,506.7222069702167,Standard
May,32,Accountant,43070.24,3622.186666666666,3,3,18,1,Debt Consolidation Loan,10,8,8.97,8.0,Standard,1233.1,26.44753733068293,19 Years and 6 Months,Yes,30.57608482316153,178.09535842702488,Low_spent_Large_value_payments,423.54722341648034,Standard
June,32,Accountant,43070.24,3622.186666666666,3,3,18,1,Debt Consolidation Loan,8,8,4.9700000000000015,8.0,Standard,1233.1,39.069843987300096,19 Years and 7 Months,Yes,30.57608482316153,41.33398006254758,High_spent_Large_value_payments,530.3086017809576,Standard
July,32,Accountant,43070.24,3622.186666666666,3,3,18,1,Debt Consolidation Loan,11,8,8.97,8.0,Standard,1233.1,34.718643637980016,19 Years and 8 Months,Yes,30.57608482316153,108.62344689023183,Low_spent_Large_value_payments,493.0191349532733,Standard
August,32,Accountant,43070.24,,3,3,18,-100,Debt Consolidation Loan,11,8,8.97,8.0,Standard,1233.1,26.365699545206407,19 Years and 9 Months,Yes,30.57608482316153,403.5168088509092,!@9#%8,218.125772992596,Standard
January,40,Architect,28572.39,2210.0325,6,3,15,3,"Payday Loan, Not Specified, and Auto Loan",25,12,4.89,0.0,_,400.07,24.422250680362033,30 Years and 3 Months,Yes,69.60292048199007,42.85050714738581,High_spent_Large_value_payments,348.54982237062416,Standard
February,40,Architect,28572.39,2210.0325,6,3,15,3,"Payday Loan, Not Specified, and Auto Loan",25,9,4.89,0.0,Standard,400.07,36.43787041541562,30 Years and 4 Months,NM,69.60292048199007,83.0442090106474,!@9#%8,358.3561205073625,Standard
March,40,_______,28572.39,2210.0325,6,3,15,3,"Payday Loan, Not Specified, and Auto Loan",28,10,4.89,0.0,Standard,400.07,29.323516897407607,30 Years and 5 Months,Yes,69.60292048199007,53.484203285005805,High_spent_Medium_value_payments,347.91612623300415,Standard
April,40_,Architect,28572.39,,6,3,15,3,"Payday Loan, Not Specified, and Auto Loan",25,14,4.89,0.0,_,400.07,34.71456103712383,30 Years and 6 Months,Yes,69.60292048199007,25.99346229581731,High_spent_Medium_value_payments,375.4068672221926,Standard
May,40,Architect,28572.39,,6,3,15,3,"Payday Loan, Not Specified, and Auto Loan",25,12,4.89,2.0,Standard,400.07,37.5045523778052,30 Years and 7 Months,Yes,69.60292048199007,61.628109134830005,High_spent_Medium_value_payments,339.77222038318,Standard
June,40,Architect,28572.39,,6,3,668,3,"Payday Loan, Not Specified, and Auto Loan",25,11,4.89,2.0,Standard,400.07,35.693949403024156,30 Years and 8 Months,Yes,69.60292048199007,129.264834657262,Low_spent_Small_value_payments,312.13549486074794,Standard
July,40,Architect,28572.39,2210.0325,6,3,15,3,"Payday Loan, Not Specified, and Auto Loan",25,13,4.89,2.0,Standard,400.07,35.025882785272486,,Yes,69.60292048199007,76.60780889167367,Low_spent_Small_value_payments,364.7925206263362,Standard
August,40,Architect,6515990.0_,2210.0325,6,3,15,3,"Payday Loan, Not Specified, and Auto Loan",25,12,4.89,2.0,Standard,400.07,23.177617480044173,30 Years and 10 Months,Yes,69.60292048199007,51.83085897154975,High_spent_Large_value_payments,339.5694705464602,Standard
January,37,Manager,39641.54,3007.461666666666,10,8,25,6,"Auto Loan, Student Loan, Payday Loan, Payday Loan, Mortgage Loan, and Debt Consolidation Loan",61,13,1.54,6.0,_,2258.73,34.12570493442336,,Yes,172.38252735862687,246.91502516402176,Low_spent_Large_value_payments,151.44861414401805,Poor
February,37,Manager,39641.54,3007.461666666666,10,8,25,6,"Auto Loan, Student Loan, Payday Loan, Payday Loan, Mortgage Loan, and Debt Consolidation Loan",61,16,1.54,8.0,_,2258.73,33.414598040847395,8 Years and 9 Months,NM,172.38252735862687,236.0775818986983,Low_spent_Large_value_payments,162.28605740934154,Poor
March,37,Manager,39641.54,3007.461666666666,10,8,25,6,"Auto Loan, Student Loan, Payday Loan, Payday Loan, Mortgage Loan, and Debt Consolidation Loan",61,15,1.54,568.0,Bad,2258.73,27.572862899949165,8 Years and 10 Months,Yes,172.38252735862687,198.0421234022212,High_spent_Small_value_payments,190.3215159058186,Poor
April,37,Manager,39641.54_,3007.461666666666,10,8,25,-100,"Auto Loan, Student Loan, Payday Loan, Payday Loan, Mortgage Loan, and Debt Consolidation Loan",61,16,1.54,8.0,Bad,2258.73,32.4134467979176,8 Years and 11 Months,Yes,172.38252735862687,254.0211199377709,Low_spent_Small_value_payments,164.3425193702689,Poor
May,37_,Manager,39641.54_,,10,8,25,6,"Auto Loan, Student Loan, Payday Loan, Payday Loan, Mortgage Loan, and Debt Consolidation Loan",61,16,1.54,8.0,Bad,2258.73,25.98322951266487,9 Years and 0 Months,Yes,172.38252735862687,254.26037253709117,!@9#%8,154.1032667709486,Standard
June,37,Manager,39641.54,3007.461666666666,10,8,25,6,"Auto Loan, Student Loan, Payday Loan, Payday Loan, Mortgage Loan, and Debt Consolidation Loan",61,16,1.54,8.0,Bad,2258.73,27.91283759274986,9 Years and 1 Months,Yes,172.38252735862687,122.14845102419844,Low_spent_Small_value_payments,296.21518828384137,Poor
July,37,Manager,39641.54,3007.461666666666,10,8,25,6,"Auto Loan, Student Loan, Payday Loan, Payday Loan, Mortgage Loan, and Debt Consolidation Loan",61,14,1.54,8.0,Bad,2258.73,23.196508529545326,,Yes,172.38252735862687,160.67254450139754,Low_spent_Large_value_payments,237.6910948066423,Poor
August,38,Manager,39641.54,3007.461666666666,10,8,25,6,"Auto Loan, Student Loan, Payday Loan, Payday Loan, Mortgage Loan, and Debt Consolidation Loan",61,13,-2.46,8.0,Bad,2258.73,34.84904970443735,9 Years and 3 Months,Yes,172.38252735862687,149.26780615872963,Low_spent_Large_value_payments,249.09583314931015,Poor
January,54_,Scientist,20186.02,1684.168333333333,1,5,1,2,"Auto Loan, and Home Equity Loan",5,6,6.83,4.0,_,413.32,35.94290748551229,18 Years and 3 Months,No,29.534583720496048,74.21434055467658,Low_spent_Large_value_payments,334.6679090581607,Good
February,54,Scientist,20186.02,1684.168333333333,1,5,1,2,"Auto Loan, and Home Equity Loan",5,6,0.8300000000000001,,Good,413.32,32.93734625620886,18 Years and 4 Months,NM,14130.0,42.6191420708265,High_spent_Large_value_payments,336.2631075420108,Standard
March,55,Scientist,20186.02,1684.168333333333,1,5,1,2,"Auto Loan, and Home Equity Loan",4,3,6.83,4.0,Good,413.32,31.861736271923107,18 Years and 5 Months,No,29.534583720496048,26.290476621438273,High_spent_Medium_value_payments,362.591772991399,Good
April,5079,Scientist,20186.02,1684.168333333333,1,5,1,2,"Auto Loan, and Home Equity Loan",5,6,_,4.0,Good,413.32,22.74358210427965,18 Years and 6 Months,No,29.534583720496048,104.72383354456407,High_spent_Small_value_payments,294.1584160682732,Good
May,55,Scientist,20186.02,1684.168333333333,1,5,1,2,"Auto Loan, and Home Equity Loan",5,7,6.83,4.0,_,413.32,39.06398122380784,18 Years and 7 Months,No,29.534583720496048,138.80315747514354,Low_spent_Large_value_payments,270.0790921376937,Standard
June,55,Scientist,586359.0,1684.168333333333,1,5,1,2,"Auto Loan, and Home Equity Loan",5,7,6.83,4.0,Good,413.32,28.836349156043873,18 Years and 8 Months,No,29.534583720496048,68.95672493704708,High_spent_Medium_value_payments,319.9255246757902,Good
July,55,Scientist,20186.02,1684.168333333333,1,5,1,2,"Auto Loan, and Home Equity Loan",5,6,6.83,4.0,Good,413.32,36.058697021094275,18 Years and 9 Months,No,5994.0,121.7654262603496,Low_spent_Small_value_payments,307.1168233524877,Standard
August,55,Scientist,20186.02,1684.168333333333,1,5,1,2,"Auto Loan, and Home Equity Loan",5,6,6.83,4.0,Good,413.32,33.75820397193409,,No,29.534583720496048,153.53879644098146,Low_spent_Medium_value_payments,265.3434531718558,Standard
January,43,Musician,18627.64,1387.303333333333,7,7,19,6,"Payday Loan, Not Specified, Student Loan, Credit-Builder Loan, Credit-Builder Loan, and Payday Loan",31,21,_,7.0,Bad,1793.54,38.9796611529839,18 Years and 9 Months,NM,65.13948777561222,48.43998334767114,High_spent_Medium_value_payments,275.15086221005004,Poor
February,43,Musician,18627.64,,7,7,19,6,"Payday Loan, Not Specified, Student Loan, Credit-Builder Loan, Credit-Builder Loan, and Payday Loan",31,21,5.07,7.0,Bad,1793.54,35.030349081579885,18 Years and 10 Months,Yes,65.13948777561222,53.83325980744012,Low_spent_Medium_value_payments,299.757585750281,Poor
March,43,Musician,18627.64,,7,7,19,6,"Payday Loan, Not Specified, Student Loan, Credit-Builder Loan, Credit-Builder Loan, and Payday Loan",31,21,5.07,7.0,Bad,1793.54,27.19720883392748,18 Years and 11 Months,Yes,31551.0,105.14914955564508,Low_spent_Small_value_payments,258.441696002076,Poor
April,43,Musician,18627.64,1387.303333333333,7,7,19,6,"Payday Loan, Not Specified, Student Loan, Credit-Builder Loan, Credit-Builder Loan, and Payday Loan",31,22,5.07,7.0,Bad,1793.54,35.91940492740646,19 Years and 0 Months,Yes,65.13948777561222,75.79138890495672,Low_spent_Medium_value_payments,277.7994566527644,Standard
May,43,Musician,18627.64,,7,7,19,6,"Payday Loan, Not Specified, Student Loan, Credit-Builder Loan, Credit-Builder Loan, and Payday Loan",31,3318,5.07,7.0,Bad,1793.54,25.585205200232163,19 Years and 1 Months,Yes,65.13948777561222,24.34618840548105,High_spent_Large_value_payments,289.24465715224005,Poor
June,43,Musician,18627.64,1387.303333333333,7,7,19,6,"Payday Loan, Not Specified, Student Loan, Credit-Builder Loan, Credit-Builder Loan, and Payday Loan",31,21,6.07,7.0,Bad,1793.54,35.706437003014834,19 Years and 2 Months,Yes,65.13948777561222,109.59203229477613,Low_spent_Medium_value_payments,243.998813262945,Poor
July,43,Musician,18627.64,1387.303333333333,7,7,19,6,"Payday Loan, Not Specified, Student Loan, Credit-Builder Loan, Credit-Builder Loan, and Payday Loan",26,21,_,7.0,Bad,1793.54,23.245481545534325,19 Years and 3 Months,Yes,65.13948777561222,104.22797957897026,Low_spent_Small_value_payments,259.36286597875085,Poor
August,44,Musician,18627.64,1387.303333333333,7,7,19,6,"Payday Loan, Not Specified, Student Loan, Credit-Builder Loan, Credit-Builder Loan, and Payday Loan",31,18,5.07,7.0,Bad,1793.54,38.78895428776155,19 Years and 4 Months,Yes,65.13948777561222,98.80418973887456,Low_spent_Small_value_payments,264.78665581884655,Poor
January,21_,Engineer,12986.745,959.22875,4,3,10,2_,"Mortgage Loan, and Payday Loan",30,14,11.8,5.0,_,1489.49,26.32926887043728,8 Years and 8 Months,Yes,16.719300227776053,16.286719355483015,High_spent_Medium_value_payments,312.91685541674093,Standard
February,21,Engineer,12986.745,959.22875,4,3,10,2,"Mortgage Loan, and Payday Loan",29,17,11.8,7.0,Standard,1489.49,24.61461029221816,8 Years and 9 Months,Yes,16.719300227776053,44.193003447546566,Low_spent_Medium_value_payments,315.0105713246774,Standard
March,21,Engineer,12986.745,959.22875,4,3,10,2,"Mortgage Loan, and Payday Loan",30,20,11.8,7.0,Standard,1489.49,26.15307797968565,8 Years and 10 Months,Yes,16.719300227776053,47.266680510662326,Low_spent_Medium_value_payments,311.93689426156163,Standard
April,21,_______,12986.745,959.22875,4,3,10,2,"Mortgage Loan, and Payday Loan",30,15,11.8,7.0,Standard,1489.49,31.78179827243648,8 Years and 11 Months,Yes,16.719300227776053,76.3552778113165,Low_spent_Large_value_payments,272.84829696090753,Standard
May,22,Engineer,12986.745,959.22875,4,3,10,2,"Mortgage Loan, and Payday Loan",30,18,16.8,7.0,Standard,1489.49,37.661505448797726,9 Years and 0 Months,Yes,16.719300227776053,72.34651350481404,Low_spent_Small_value_payments,296.85706126740985,Standard
June,22,Engineer,12986.745,,4,3,10,2,"Mortgage Loan, and Payday Loan",30,17,11.8,7.0,Standard,1489.49,26.50747449505761,9 Years and 1 Months,Yes,16.719300227776053,111.25763046793648,Low_spent_Small_value_payments,257.9459443042875,Standard
July,22,Engineer,12986.745,959.22875,4,3,10,2,"Mortgage Loan, and Payday Loan",28,20,11.8,7.0,_,1489.49,30.469981621915608,9 Years and 2 Months,Yes,16.719300227776053,46.74959035828726,Low_spent_Small_value_payments,322.45398441393667,Standard
August,22,Engineer,12986.745,959.22875,4,3,10,2,"Mortgage Loan, and Payday Loan",28,17,11.8,7.0,Standard,1489.49,32.25544266260322,9 Years and 3 Months,Yes,16.719300227776053,91.82948180540613,Low_spent_Small_value_payments,277.37409296681784,Standard
January,43,Writer,58317.0,4664.75,8,5,9,6,"Mortgage Loan, Personal Loan, Home Equity Loan, Personal Loan, Mortgage Loan, and Personal Loan",18,17,16.58,6.0,Standard,98.97,40.4111148274711,13 Years and 1 Months,Yes,149.89719942100822,109.48894961827229,!@9#%8,467.0888509607195,Standard
February,43,Writer,58317.0,4664.75,8,5,9,6,"Mortgage Loan, Personal Loan, Home Equity Loan, Personal Loan, Mortgage Loan, and Personal Loan",18,20,16.58,6.0,Standard,98.97,27.806917787306933,13 Years and 2 Months,Yes,149.89719942100822,83.30040818642512,High_spent_Medium_value_payments,483.2773923925665,Standard
March,44,Writer,58317.0,,8,5,9,6,"Mortgage Loan, Personal Loan, Home Equity Loan, Personal Loan, Mortgage Loan, and Personal Loan",16,20,10.579999999999998,6.0,_,98.97,25.83210889641537,13 Years and 3 Months,Yes,149.89719942100822,57.95122336180115,High_spent_Large_value_payments,498.6265772171906,Standard
April,44,Writer,58317.0,,1414,5,9,6,"Mortgage Loan, Personal Loan, Home Equity Loan, Personal Loan, Mortgage Loan, and Personal Loan",18,23,23.58,10.0,Standard,98.97,29.766106857365408,,Yes,149.89719942100822,158.64827595455043,High_spent_Medium_value_payments,407.9295246244412,Standard
May,44,Writer,58317.0,4664.75,8,5,9,6,"Mortgage Loan, Personal Loan, Home Equity Loan, Personal Loan, Mortgage Loan, and Personal Loan",18,20,22.58,,Standard,98.97,34.192304393976734,13 Years and 5 Months,Yes,149.89719942100822,180.83057335204728,Low_spent_Medium_value_payments,415.7472272269445,Standard
June,44,Writer,58317.0,4664.75,8,5,9,6,"Mortgage Loan, Personal Loan, Home Equity Loan, Personal Loan, Mortgage Loan, and Personal Loan",18,,16.58,10.0,Standard,98.97,24.665525197204826,13 Years and 6 Months,Yes,149.89719942100822,98.88050778293751,High_spent_Medium_value_payments,467.6972927960543,Standard
July,44,Writer,58317.0,4664.75,8,5,9,6,"Mortgage Loan, Personal Loan, Home Equity Loan, Personal Loan, Mortgage Loan, and Personal Loan",18,20,21.58,10.0,Standard,98.97,28.260146747054986,13 Years and 7 Months,Yes,149.89719942100822,380.5857010101063,Low_spent_Medium_value_payments,215.9920995688854,Standard
August,44,Writer,58317.0,4664.75,8,5,9,6,"Mortgage Loan, Personal Loan, Home Equity Loan, Personal Loan, Mortgage Loan, and Personal Loan",22,,16.58,10.0,Standard,98.97,36.76366452604633,13 Years and 8 Months,Yes,149.89719942100822,59.955987495996,High_spent_Medium_value_payments,506.62181308299586,Standard
January,36,Scientist,42171.98,,2,7,10,3,"Auto Loan, Auto Loan, and Not Specified",4,10,9.58,4.0,Good,556.91,33.47895196844123,21 Years and 5 Months,No,102.7629131170904,56.711376692459666,High_spent_Medium_value_payments,466.95887685711665,Standard
February,36,Scientist,42171.98,3764.331666666667,2,7,10,3,"Auto Loan, Auto Loan, and Not Specified",4,8,2.58,4.0,Good,556.91,26.986114755563673,21 Years and 6 Months,No,102.7629131170904,136.98300144734569,Low_spent_Small_value_payments,426.6872521022305,Standard
March,37,Scientist,42171.98,3764.331666666667,2,7,10,3,"Auto Loan, Auto Loan, and Not Specified",4,,2.58,4.0,Good,556.91,40.150582768507526,21 Years and 7 Months,NM,102.7629131170904,97.5667563136885,!@9#%8,446.1034972358877,Standard
April,37,Scientist,42171.98,,2,7,10,3,"Auto Loan, Auto Loan, and Not Specified",2,10,2.58,4.0,Good,556.91,34.42998587408374,21 Years and 8 Months,No,102.7629131170904,255.76582841793282,Low_spent_Large_value_payments,287.9044251316435,Good
May,37,Scientist,42171.98,3764.331666666667,2,7,10,3,"Auto Loan, Auto Loan, and Not Specified",4,10,2.58,4.0,Good,556.91,31.745213385009905,21 Years and 9 Months,No,102.7629131170904,150.3131869839959,!@9#%8,373.3570665655803,Good
June,37_,Scientist,42171.98,3764.331666666667,2,7,10,3,"Auto Loan, Auto Loan, and Not Specified",2,10,2.58,4.0,_,556.91,29.46412057567319,21 Years and 10 Months,NM,102.7629131170904,82.51039863115369,High_spent_Small_value_payments,451.15985491842264,Good
July,37,Scientist,42171.98,3764.331666666667,2,7,10,3,"Auto Loan, Auto Loan, and Not Specified",4,10,2.58,4.0,Good,556.91,38.69215906784695,,No,102.7629131170904,82.5798021342212,High_spent_Large_value_payments,431.0904514153552,Good
August,37,Scientist,42171.98,,2,7,10,3,"Auto Loan, Auto Loan, and Not Specified",4,10,2.58,4.0,Good,556.91,35.96285294028673,22 Years and 0 Months,No,102.7629131170904,145.39924253815036,High_spent_Medium_value_payments,378.27101101142586,Standard
January,36,Manager,71681.4,5799.45,3,518,15,1,Not Specified,7,8,10.44,,_,1293.02,40.339024289653345,25 Years and 7 Months,Yes,53.92351397165268,301.2920819088937,Low_spent_Small_value_payments,514.7294041194536,Standard
February,36,Manager,71681.4,5799.45,3,6,15,1,Not Specified,8,6,10.44,0.0,Standard,1293.02,29.682953869716,25 Years and 8 Months,Yes,53.92351397165268,137.33114262036042,High_spent_Medium_value_payments,638.6903434079869,Standard
March,36,Manager,71681.4,5799.45,3,6,15,1,Not Specified,8,10,10.44,0.0,Standard,1293.02,29.371396475591713,25 Years and 9 Months,Yes,53.92351397165268,253.31972193677208,Low_spent_Small_value_payments,562.7017640915751,Standard
April,36,Manager,71681.4,5799.45,3,6,15,1,Not Specified,4,8,10.44,0.0,Standard,1293.02,33.041498963387184,25 Years and 10 Months,Yes,53.92351397165268,120.89014204533736,High_spent_Large_value_payments,645.13134398301,Good
May,36,Manager,71681.4,5799.45,3,6,15,1,Not Specified,8,3083,10.44,0.0,Standard,1293.02,40.79113730976767,25 Years and 11 Months,Yes,53.92351397165268,__10000__,!@9#%8,358.0953999823698,Good
June,36,Manager,71681.4,5799.45,3,6,15,1,Not Specified,5,6,10.44,0.0,Standard,1293.02,34.983562067394985,26 Years and 0 Months,Yes,53.92351397165268,414.896549383656,Low_spent_Medium_value_payments,391.1249366446912,Good
July,36,Manager,71681.4,5799.45,3,6,15,1,Not Specified,8,10,4.44,0.0,_,1293.02,32.733732776648026,26 Years and 1 Months,Yes,53.92351397165268,,High_spent_Large_value_payments,642.6718243437651,Good
August,36,Manager,71681.4,5799.45,3,6,15,1,Not Specified,8,8,10.44,0.0,Standard,1293.02,38.23451377496931,26 Years and 2 Months,NM,53.92351397165268,295.81189599421316,Low_spent_Medium_value_payments,510.20959003413424,Good
January,6409,Mechanic,29469.98,2227.8316666666665,1231,7,24,5,"Personal Loan, Credit-Builder Loan, Debt Consolidation Loan, Not Specified, and Not Specified",53,21,26.94,11.0,_,3421.66,24.63965802618602,,Yes,69.68545857227979,59.825596124675045,!@9#%8,363.27211196971183,Standard
February,-500,Mechanic,29469.98,2227.8316666666665,7,7,24,5,"Personal Loan, Credit-Builder Loan, Debt Consolidation Loan, Not Specified, and Not Specified",50,18,22.94,,Bad,3421.66,30.26841052887284,13 Years and 3 Months,NM,69.68545857227979,125.49176826031132,High_spent_Small_value_payments,287.6059398340756,Standard
March,16,Mechanic,29469.98,2227.8316666666665,7,7,24,-100,"Personal Loan, Credit-Builder Loan, Debt Consolidation Loan, Not Specified, and Not Specified",53,24,27.94,11.0,_,3421.66,31.212268791470517,13 Years and 4 Months,Yes,69.68545857227979,32.70665182089997,High_spent_Large_value_payments,360.39105627348687,Standard
April,16,Mechanic,29469.98,2227.8316666666665,7,7,24,5,"Personal Loan, Credit-Builder Loan, Debt Consolidation Loan, Not Specified, and Not Specified",53,21,26.94,11.0,Bad,3421.66,33.298654305420385,13 Years and 5 Months,Yes,69.68545857227979,27.250794632521444,High_spent_Medium_value_payments,375.84691346186537,Poor
May,16,Mechanic,29469.98,2227.8316666666665,7,7,24,5,"Personal Loan, Credit-Builder Loan, Debt Consolidation Loan, Not Specified, and Not Specified",53,21,26.94,11.0,Bad,3421.66,38.177310964520885,13 Years and 6 Months,Yes,69.68545857227979,71.26438577406131,Low_spent_Medium_value_payments,361.8333223203256,Poor
June,16,Mechanic,29469.98_,,7,7,24,5,"Personal Loan, Credit-Builder Loan, Debt Consolidation Loan, Not Specified, and Not Specified",53,21,27.94,11.0,Bad,3421.66,30.986998144545613,13 Years and 7 Months,Yes,69.68545857227979,117.31031613952459,Low_spent_Small_value_payments,325.7873919548623,Poor
July,16,Mechanic,29469.98,,7,7,24,5,"Personal Loan, Credit-Builder Loan, Debt Consolidation Loan, Not Specified, and Not Specified",58,24,26.94,11.0,Bad,3421.66,33.283061301535405,13 Years and 8 Months,Yes,69.68545857227979,115.45341572596944,Low_spent_Small_value_payments,327.64429236841744,Poor
August,16,Mechanic,29469.98,2227.8316666666665,7,7,24,5,"Personal Loan, Credit-Builder Loan, Debt Consolidation Loan, Not Specified, and Not Specified",53,21,26.94,11.0,Bad,3421.66,32.96295024281038,13 Years and 9 Months,Yes,69.68545857227979,24.066131449353737,High_spent_Medium_value_payments,379.0315766450331,Poor
January,19,Engineer,72559.36,6284.613333333334,4,5,17,4,"Home Equity Loan, Mortgage Loan, Credit-Builder Loan, and Payday Loan",14,21,2.74,1.0,Standard,1173.7,23.282135114409623,27 Years and 11 Months,No,215.83917063897172,565.7433852667033,Low_spent_Large_value_payments,116.87877742765828,Standard
February,19,Engineer,72559.36,,4,5,17,4,"Home Equity Loan, Mortgage Loan, Credit-Builder Loan, and Payday Loan",14,22,2.74,1.0,Standard,1173.7,38.35585257476065,28 Years and 0 Months,No,215.83917063897172,205.72098995441291,High_spent_Medium_value_payments,456.90117273994866,Standard
March,20,Engineer,72559.36,6284.613333333334,4,5,17,4,"Home Equity Loan, Mortgage Loan, Credit-Builder Loan, and Payday Loan",18,22_,-4.26,1.0,_,1173.7,25.560099272529627,28 Years and 1 Months,NM,215.83917063897172,370.46997417803266,Low_spent_Medium_value_payments,322.152188516329,Standard
April,20,_______,72559.36,,4,5,17,4,"Home Equity Loan, Mortgage Loan, Credit-Builder Loan, and Payday Loan",14,18,_,1.0,_,1173.7,36.63682650700103,28 Years and 2 Months,No,215.83917063897172,298.6987124670099,Low_spent_Medium_value_payments,393.92345022735185,Standard
